country,code
Australia AUS,AUS
Austria AUT,AUT
Belarus BLR,BLR
Belgium BEL,BEL
Bulgaria BGR,BGR
Canada CAN,CAN
Chile CHL,CHL
Czech Republic CZE,CZE
Denmark DNK,DNK
Estonia EST,EST
Finland FIN,FIN
France total population FRATNP,FRATNP
France civilian population FRACNP,FRACNP
Germany total population DEUTNP,DEUTNP
West Germany DEUTFRG,DEUTW
East Germany DEUTGDR,DEUTE
Greece GRC,GRC
Hungary HUN,HUN
Iceland ISL,ISL
Ireland IRL,IRL
Israel ISR,ISR
Italy ITA,ITA
Japan JPN,JPN
Latvia LVA,LVA
Lithuania LTU,LTU
Luxembourg LUX,LUX
Netherlands NLD,NLD
NZ total population NZL_NP,NZL_NP
NZ Maori NZL_MA,NZL_MA
NZ non-Maori NZL_NM,NZL_NM
Norway NOR,NOR
Poland POL,POL
Portugal PRT,PRT
Russia RUS,RUS
Slovakia SVK,SVK
Slovenia SVN,SVN
Spain ESP,ESP
Sweden SWE,SWE
Switzerland CHE,CHE
Taiwan TWN,TWN
UK Total Population GBR_NP,GBR_NP
England & Wales Total Population GBRTENW,GBRTENW
England & Wales Civilian Population GBRCENW,GBRCENW
Scotland GBR_SCO,GBR_SCO
Northern Ireland GBR_NIR,GBR_NIR
U.S.A. USA,USA
